date,tag,asset,downloads
"2026-09-10","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-10","v0.2.2","ashdown-universal.dmg","0"
"2026-09-10","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-10","v0.2.1","ashdown-universal.dmg","0"
"2026-09-10","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-10","v0.2.0","ashdown-universal.dmg","5"
"2026-09-10","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-10","v0.1.1","ashdown-universal.dmg","2"
"2026-09-11","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-11","v0.2.2","ashdown-universal.dmg","0"
"2026-09-11","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-11","v0.2.1","ashdown-universal.dmg","0"
"2026-09-11","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-11","v0.2.0","ashdown-universal.dmg","5"
"2026-09-11","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-11","v0.1.1","ashdown-universal.dmg","2"
"2026-09-12","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-12","v0.2.2","ashdown-universal.dmg","0"
"2026-09-12","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-12","v0.2.1","ashdown-universal.dmg","0"
"2026-09-12","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-12","v0.2.0","ashdown-universal.dmg","5"
"2026-09-12","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-12","v0.1.1","ashdown-universal.dmg","2"
"2026-09-13","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-13","v0.2.2","ashdown-universal.dmg","1"
"2026-09-13","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-13","v0.2.1","ashdown-universal.dmg","0"
"2026-09-13","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-13","v0.2.0","ashdown-universal.dmg","5"
"2026-09-13","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-13","v0.1.1","ashdown-universal.dmg","2"
"2026-09-14","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-14","v0.2.2","ashdown-universal.dmg","1"
"2026-09-14","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-14","v0.2.1","ashdown-universal.dmg","0"
"2026-09-14","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-14","v0.2.0","ashdown-universal.dmg","5"
"2026-09-14","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-14","v0.1.1","ashdown-universal.dmg","2"
"2026-09-15","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-15","v0.2.2","ashdown-universal.dmg","1"
"2026-09-15","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-15","v0.2.1","ashdown-universal.dmg","0"
"2026-09-15","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-15","v0.2.0","ashdown-universal.dmg","5"
"2026-09-15","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-15","v0.1.1","ashdown-universal.dmg","2"
"2026-09-16","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-16","v0.2.2","ashdown-universal.dmg","1"
"2026-09-16","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-16","v0.2.1","ashdown-universal.dmg","0"
"2026-09-16","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-16","v0.2.0","ashdown-universal.dmg","5"
"2026-09-16","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-16","v0.1.1","ashdown-universal.dmg","2"
"2026-09-17","v0.2.2","ashdown-0.2.2-universal.dmg","0"
"2026-09-17","v0.2.2","ashdown-universal.dmg","1"
"2026-09-17","v0.2.1","ashdown-0.2.1-universal.dmg","0"
"2026-09-17","v0.2.1","ashdown-universal.dmg","0"
"2026-09-17","v0.2.0","ashdown-0.2.0-universal.dmg","0"
"2026-09-17","v0.2.0","ashdown-universal.dmg","5"
"2026-09-17","v0.1.1","ashdown-0.1.1-universal.dmg","0"
"2026-09-17","v0.1.1","ashdown-universal.dmg","2"
